element	sp_num	obs_wl_air(nm)	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	g_i	g_k	Type	
Au	1	627.817	3.4e+06	D	21435.191	37358.991	4	2		
Cu	2	628.8695	1.7e+07	D+	120876.0141	136773.1713	5	3		
Cu	2	630.10135	1.0e+08	C+	123016.8175	138882.8921	7	9		
Cu	2	630.59712	5.7e+07	D+	120919.5715	136773.1713	3	3		
Cu	2	631.13006	3.5e+07	D+	121079.1501	136919.3511	7	7		
Cu	2	631.2491	5.8e+07	D+	123304.823	139142.049	3	5		
Cu	2	632.6465	5.0e+06	D+	123016.8175	138819.0637	7	7		
Cu	2	635.7414	5.5e+07	D+	122867.7407	138593.046	3	3		
Cu	2	637.7842	1.9e+07	D+	121079.1501	136754.1104	7	5		
Cu	2	639.3957	3.4e+06	D+	135834.6720	151470.113	9	11		
Cu	2	640.3384	2.7e+07	D+	122415.957	138028.384	1	3		
Cu	2	641.1142	5.8e+07	D+	123304.823	138898.334	3	3		
Cu	2	641.4569	1.4e+07	D+	123556.8261	139142.049	5	5		
Cu	2	641.8160	1.5e+07	D+	135863.6857	151440.178	3	5		
Cu	2	642.38842	5.6e+07	C+	123556.8261	139119.4295	5	7		
Cu	2	643.2416	1.5e+07	D+	135910.7245	151452.690	5	7		
Cu	2	643.3597	2.7e+06	D+	135931.01412	151470.130	13	13		
Cu	2	643.7596	6.7e+06	D+	135910.7245	151440.178	5	5		
Cu	2	644.17371	2.4e+07	D+	135931.01412	151450.488	13	15		
Cu	2	644.2964	2.3e+07	D+	135933.89499	151450.414	11	13		
Cu	2	644.3587	2.0e+07	D+	138002.8856	153517.905	5	7		
Cu	2	645.2116	1.4e+07	D+	135958.1919	151452.701	3	5		
Cu	2	646.6245	2.3e+07	D+	138064.2971	153524.950	11	13		
Cu	2	647.01386	2.3e+07	D+	138073.5826	153524.933	9	11		
Cu	2	647.5426	7.5e+06	D+	136013.9671	151452.701	5	5		
Cu	2	647.9316	1.5e+07	D+	136035.3328	151464.796	7	9		
Cu	2	648.1436	3.4e+07	D+	123556.8261	138981.246	5	5		
Cu	2	648.4417	1.4e+07	D+	120919.5715	136336.8971	3	3		
Cu	2	648.8816	1.9e+07	D+	138130.5345	153537.414	7	9		
Cu	2	650.8401	1.7e+07	D+	138176.8797	153537.395	5	7		
Cu	2	651.7316	1.7e+07	D+	136132.77781	151472.278	9	11		
Cu	2	652.0497	5.7e+06	D+	136132.77781	151464.796	9	9		
Cu	2	652.3820	2.1e+07	D+	138219.8605	153544.069	9	11		
Cu	2	652.9167	4.6e+06	D+	136160.61825	151472.278	11	11		
Cu	2	653.0082	2.0e+07	D+	136160.61825	151470.130	11	13		
Cu	2	654.1637	1.9e+07	D+	138261.5822	153544.054	7	9		
Cu	2	655.9657	4.9e+06	D+	121524.8509	136765.3514	7	9		
Cu	2	656.7949	5.1e+05	C	108335.6078	123556.8261	5	5		
Cu	2	657.6147	4.3e+06	D+	136269.9996	151472.264	9	9		
Cu	2	657.70812	1.5e+07	D+	136269.9996	151470.113	9	11		
Cu	2	662.4291	2.2e+07	D+	121981.8546	137073.6465	5	5		
Cu	2	664.1395	2.6e+07	D+	121981.8546	137034.778	5	7		
Cu	2	664.8764	1.1e+07	D+	123556.8261	138593.046	5	3		
Cu	2	665.1323	3.8e+06	D+	136441.817	151472.264	7	9		
Cu	2	673.9599	7.4e+06	D+	138593.046	153426.632	3	5		
Cu	2	675.8855	1.0e+07	D+	121981.8546	136773.1713	5	3		
Cu	2	680.2138	3.5e+06	D+	136725.85349	151423.056	11	11		
Cu	2	682.1060	3.2e+06	D+	136765.3514	151421.791	9	9		
Cu	2	682.3201	1.8e+07	D+	136725.85349	151377.688	11	13		
Cu	2	682.4750	7.2e+06	D+	136754.1104	151402.621	5	7		
Cu	2	683.0531	1.8e+07	D+	138819.0637	153455.178	7	9		
Cu	2	683.3026	8.1e+06	D+	136773.1713	151403.942	3	5		
Cu	2	683.7491	9.e+06	D+	136754.1104	151375.318	5	5		
Cu	2	684.4156	1.8e+07	D+	136765.3514	151372.330	9	11		
Cu	2	686.3061	1.8e+07	D+	138882.8921	153449.633	9	11		
Cu	2	687.9403	5.5e+06	C	108335.6078	122867.7407	5	3		
Cu	2	689.4810	1.0e+07	D+	136919.3511	151419.022	7	9		
Cu	2	690.2617	8.0e+06	D+	136919.3511	151402.621	7	7		
Cu	2	692.8602	1.1e+07	D+	138981.246	153410.212	5	7		
Cu	2	693.7552	3.9e+06	C	108335.6078	122745.9491	5	5		
Cu	2	693.9099	4.8e+06	D+	137034.778	151441.899	7	7		
Cu	2	694.8795	1.1e+07	D+	137034.778	151421.791	7	9		
Cu	2	695.0139	3.1e+06	D+	137034.778	151419.022	7	9		
Cu	2	695.2870	1.4e+07	D+	137044.4647	151423.056	9	11		
Cu	2	695.3930	1.5e+07	D+	139119.4295	153495.854	7	9		
Cu	2	695.4820	4.4e+06	D+	137044.4647	151419.022	9	9		
Cu	2	695.7884	1.1e+07	D+	137073.6465	151441.899	5	7		
Cu	2	696.3433	1.3e+07	D+	139142.049	153498.834	5	7		
Cu	2	697.6305	5.6e+06	D+	137073.6465	151403.942	5	5		
Cu	2	715.7757	5.2e+05	C	108014.8372	121981.8546	7	5		
Cu	2	725.57937	6.5e+06	D+	121981.8546	135760.1548	5	5		
Cu	2	732.6007	1.80e+07	B	108335.6078	121981.8546	5	5		
Cu	2	738.2275	1.6e+07	D+	122415.957	135958.1919	1	3		
Cu	2	739.98836	2.57e+07	B	108014.8372	121524.8509	7	7		
Cu	2	740.43561	2.0e+07	D+	120092.3828	133594.2323	5	7		
Cu	2	742.0556	3.1e+06	C	110084.4773	123556.8261	3	5		
Cu	2	743.4155	1.3e+07	D+	122415.957	135863.6857	1	3		
Cu	2	743.81504	1.0e+07	D+	122224.0199	135664.5204	1	3		
Cu	2	749.3289	3.0e+06	D+	138401.956	151743.558	7	7		
Au	1	751.073	4.24e+07	B+	41174.613	54485.235	4	2		
Cu	2	756.20141	3.8e+07	B	110084.4773	123304.823	3	3		
Cu	2	757.9023	4.1e+07	B	110366.1542	123556.8261	5	5		
Cu	2	757.9850	1.15e+07	B	108335.6078	121524.8509	5	7		
Cu	2	765.23326	2.35e+07	B	108014.8372	121079.1501	7	7		
Cu	2	766.46451	3.5e+07	D+	120684.7128	133728.0387	7	5		
Cu	2	771.2418	3.7e+06	D+	138745.817	151708.347	5	7		
Cu	2	772.6637	1.70e+07	B	110366.1542	123304.823	5	3		
Cu	2	773.86656	4.5e+07	D+	122745.9491	135664.5204	5	3		
Cu	2	773.9499	7.1e+06	D+	138745.817	151662.985	5	5		
Cu	2	775.43688	9.e+06	D+	122867.7407	135760.1548	3	5		
Cu	2	777.3196	1.08e+06	C	108014.8372	120876.0141	7	5		
Cu	2	777.87353	1.3e+07	D+	120876.0141	133728.0387	5	5		
Cu	2	780.51886	1.6e+07	D+	120919.5715	133728.0387	3	5		
Cu	2	780.76534	3.6e+07	C+	120789.80865	133594.2323	9	7		
Cu	2	781.23182	1.2e+07	D+	122867.7407	135664.5204	3	3		
Cu	2	782.0577	1.51e+07	B	110084.4773	122867.7407	3	3		
Cu	2	782.56528	5.2e+07	B	108014.8372	120789.80865	7	9		
Cu	2	784.50792	3.8e+07	D+	123016.8175	135760.1548	7	5		
Cu	2	786.2652	2.9e+06	D+	139028.705	151743.558	5	7		
Cu	2	789.0568	5.8e+06	B	108014.8372	120684.7128	7	7		
Cu	2	789.58050	4.3e+07	B	110084.4773	122745.9491	3	5		
Cu	2	790.25482	4.9e+07	B	110366.1542	123016.8175	5	7		
Ag	2	793.02	3.2e+07	C	132017.588	144624.16	7	5		
Cu	2	794.44368	4.7e+07	B	108335.6078	120919.5715	5	3		
Ag	2	795.73	3.7e+07	C	136518.895	149082.86	5	3		
Cu	2	796.7067	1.0e+07	D+	141202.628	153750.851	7	9		
Cu	2	797.2031	2.9e+07	B	108335.6078	120876.0141	5	5		
Cu	2	798.81598	1.7e+07	D+	121079.1501	133594.2323	7	7		
Cu	2	799.6793	3.2e+07	B	110366.1542	122867.7407	5	3		
Ag	2	800.51863	3.8e+07	C	120533.6058	133022.073	7	7		
Cu	2	800.6515	5.9e+06	D+	141244.556	153730.935	5	7		
Ag	2	802.30	8.9e+06	C	132017.588	144478.44	7	7		
Cu	2	802.6479	8.2e+06	D+	123304.823	135760.1548	3	5		
Cu	2	805.3339	2.3e+06	D+	139331.149	151744.916	7	9		
Cu	2	807.4999	3.5e+06	D+	138401.956	150782.454	7	5		
Cu	2	807.5456	2.8e+05	C	110366.1542	122745.9491	5	5		
Cu	2	808.85846	1.6e+07	D+	123304.823	135664.5204	3	3		
Cu	2	809.55267	3.7e+07	B	108335.6078	120684.7128	5	7		
Ag	2	809.63	1.8e+07	C	136832.527	149182.18	3	5		
Ag	2	810.0253	1.3e+07	C	125126.4097	137468.255	3	5		
Cu	2	810.3352	2.7e+06	D+	139331.149	151668.328	7	9		
Cu	2	815.4003	5.4e+06	D+	139395.786	151656.317	9	11		
Cu	2	819.2221	2.0e+07	D+	123556.8261	135760.1548	5	5		
Cu	2	819.2330	5.9e+06	D+	121524.8509	133728.0387	7	5		
Ag	2	822.4770	1.7e+06	D+	120533.6058	132688.679	7	9		
Cu	2	823.5272	4.6e+07	B	110084.4773	122224.0199	3	1		
Ag	2	825.4777	1.4e+07	C	120911.2048	133022.073	5	7		
Ag	2	826.2874	4.3e+07	C	125126.4097	137225.409	3	3		
Cu	2	827.75525	4.3e+07	B	108014.8372	120092.3828	7	5		
Ag	2	828.7284	3.0e+07	C	125404.8818	137468.255	5	5		
Ag	2	829.78	3.4e+07	C	132429.668	144478.44	9	7		
Ag	2	832.4708	4.7e+07	C	120911.2048	132920.339	5	5		
Cu	2	832.8395	3.1e+06	D+	139741.097	151744.916	7	9		
Cu	2	833.3074	2.3e+06	D+	138745.817	150742.896	5	7		
Cu	2	833.6333	1.4e+06	D+	134110.870	146103.25704	11	13		
Cu	2	835.3837	3.1e+06	D+	139741.097	151708.347	7	7		
Ag	2	837.9578	5.0e+07	C	120911.2048	132841.701	5	3		
Cu	2	840.2897	3.9e+06	C	110084.4773	121981.8546	3	5		
Ag	2	840.38338	4.7e+07	C	120533.6058	132429.668	7	9		
Ag	2	843.15	2.4e+07	C	137225.409	149082.86	3	3		
Ag	2	849.2643	4.3e+07	C	125404.8818	137176.52	5	7		
Cu	2	850.3394	1.6e+06	C	108335.6078	120092.3828	5	5		
Cu	2	851.10626	1.0e+07	D+	121981.8546	133728.0387	5	5		
Ag	2	854.0184	1.4e+06	D+	125126.4097	136832.527	3	3		
Ag	2	854.10	2.5e+07	C	132920.339	144624.16	5	5		
Cu	2	860.6681	7.9e+06	B	110366.1542	121981.8546	5	5		
Ag	2	870.5390	1.17e+07	C	120533.6058	132017.588	7	7		
Ag	2	872.59	1.8e+07	C	133022.073	144478.44	7	7		
Ag	2	874.8317	4.3e+07	C	125404.8818	136832.527	5	3		
Ag	2	877.5316	3.0e+07	C	125126.4097	136518.895	3	5		
Cu	2	879.7094	1.6e+06	D+	134742.863	146107.1288	9	11		
Cu	2	881.0397	2.4e+06	D+	139395.786	150742.896	9	7		
Cu	2	895.9159	1.6e+05	C	110366.1542	121524.8509	5	7		
Ag	2	899.5174	1.10e+07	C	125404.8818	136518.895	5	5		
